family,order,sampleId,jacardDist
Streptococcaceae,Lactobacillales,ERR260189,0.140890451
Actinomycetaceae,Actinomycetales,ERR260194,0.043979058
Micrococcaceae,Actinomycetales,ERR260194,0.418499127
Bacteroidaceae,Bacteroidales,ERR260194,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260194,0.135062129
Prevotellaceae,Bacteroidales,ERR260194,0.212317666
Rikenellaceae,Bacteroidales,ERR260194,0.284981091
Clostridiaceae,Clostridiales,ERR260194,0.105781368
Lachnospiraceae,Clostridiales,ERR260194,0.075662043
Ruminococcaceae,Clostridiales,ERR260194,0.153710247
Lactobacillaceae,Lactobacillales,ERR260194,0.058362369
Leuconostocaceae,Lactobacillales,ERR260194,0.410107464
Streptococcaceae,Lactobacillales,ERR260194,0.148126634
Actinomycetaceae,Actinomycetales,ERR260195,0.124920128
Corynebacteriaceae,Actinomycetales,ERR260195,0.336741214
Micrococcaceae,Actinomycetales,ERR260195,0.467731629
Bacteroidaceae,Bacteroidales,ERR260195,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260195,0.116689655
Rikenellaceae,Bacteroidales,ERR260195,0.269793103
Clostridiaceae,Clostridiales,ERR260195,0.116928447
Lachnospiraceae,Clostridiales,ERR260195,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260195,0.366127024
Ruminococcaceae,Clostridiales,ERR260195,0.164257228
Lactobacillaceae,Lactobacillales,ERR260195,0.050366032
Streptococcaceae,Lactobacillales,ERR260195,0.140890451
Actinomycetaceae,Actinomycetales,ERR260198,0.043979058
Micrococcaceae,Actinomycetales,ERR260198,0.418499127
Bacteroidaceae,Bacteroidales,ERR260198,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260198,0.116689655
Rikenellaceae,Bacteroidales,ERR260198,0.269793103
Clostridiaceae,Clostridiales,ERR260198,0.116928447
Lachnospiraceae,Clostridiales,ERR260198,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260198,0.366127024
Ruminococcaceae,Clostridiales,ERR260198,0.164257228
Lactobacillaceae,Lactobacillales,ERR260198,0.050366032
Streptococcaceae,Lactobacillales,ERR260198,0.140890451
Bacteroidaceae,Bacteroidales,ERR260199,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260199,0.135062129
Prevotellaceae,Bacteroidales,ERR260199,0.212317666
Rikenellaceae,Bacteroidales,ERR260199,0.284981091
Clostridiaceae,Clostridiales,ERR260199,0.116928447
Lachnospiraceae,Clostridiales,ERR260199,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260199,0.366127024
Ruminococcaceae,Clostridiales,ERR260199,0.164257228
Enterococcaceae,Lactobacillales,ERR260199,0.263339071
Lactobacillaceae,Lactobacillales,ERR260199,0.06997419
Streptococcaceae,Lactobacillales,ERR260199,0.158634538
Bacteroidaceae,Bacteroidales,ERR260200,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260200,0.135062129
Prevotellaceae,Bacteroidales,ERR260200,0.212317666
Rikenellaceae,Bacteroidales,ERR260200,0.284981091
Clostridiaceae,Clostridiales,ERR260200,0.116928447
Lachnospiraceae,Clostridiales,ERR260200,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260200,0.366127024
Ruminococcaceae,Clostridiales,ERR260200,0.164257228
Lactobacillaceae,Lactobacillales,ERR260200,0.050366032
Streptococcaceae,Lactobacillales,ERR260200,0.140890451
Bacteroidaceae,Bacteroidales,ERR260203,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260203,0.116689655
Rikenellaceae,Bacteroidales,ERR260203,0.269793103
Clostridiaceae,Clostridiales,ERR260203,0.116928447
Lachnospiraceae,Clostridiales,ERR260203,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260203,0.366127024
Ruminococcaceae,Clostridiales,ERR260203,0.164257228
Lactobacillaceae,Lactobacillales,ERR260203,0.050366032
Streptococcaceae,Lactobacillales,ERR260203,0.140890451
Bacteroidaceae,Bacteroidales,ERR260204,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260204,0.116689655
Rikenellaceae,Bacteroidales,ERR260204,0.269793103
Clostridiaceae,Clostridiales,ERR260204,0.116928447
Lachnospiraceae,Clostridiales,ERR260204,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260204,0.366127024
Ruminococcaceae,Clostridiales,ERR260204,0.164257228
Lactobacillaceae,Lactobacillales,ERR260204,0.058362369
Leuconostocaceae,Lactobacillales,ERR260204,0.410107464
Streptococcaceae,Lactobacillales,ERR260204,0.148126634
Actinomycetaceae,Actinomycetales,ERR260206,0.043979058
Micrococcaceae,Actinomycetales,ERR260206,0.418499127
Bacteroidaceae,Bacteroidales,ERR260206,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260206,0.135062129
Prevotellaceae,Bacteroidales,ERR260206,0.212317666
Rikenellaceae,Bacteroidales,ERR260206,0.284981091
Clostridiaceae,Clostridiales,ERR260206,0.116928447
Lachnospiraceae,Clostridiales,ERR260206,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260206,0.366127024
Ruminococcaceae,Clostridiales,ERR260206,0.164257228
Enterococcaceae,Lactobacillales,ERR260206,0.263339071
Lactobacillaceae,Lactobacillales,ERR260206,0.06997419
Streptococcaceae,Lactobacillales,ERR260206,0.158634538
Actinomycetaceae,Actinomycetales,ERR260214,0.043979058
Micrococcaceae,Actinomycetales,ERR260214,0.418499127
Bacteroidaceae,Bacteroidales,ERR260214,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260214,0.116689655
Rikenellaceae,Bacteroidales,ERR260214,0.269793103
Clostridiaceae,Clostridiales,ERR260214,0.116928447
Lachnospiraceae,Clostridiales,ERR260214,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260214,0.366127024
Ruminococcaceae,Clostridiales,ERR260214,0.164257228
Lactobacillaceae,Lactobacillales,ERR260214,0.050366032
Streptococcaceae,Lactobacillales,ERR260214,0.140890451
Actinomycetaceae,Actinomycetales,ERR260218,0.043979058
Micrococcaceae,Actinomycetales,ERR260218,0.418499127
Bacteroidaceae,Bacteroidales,ERR260218,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260218,0.116689655
Rikenellaceae,Bacteroidales,ERR260218,0.269793103
Clostridiaceae,Clostridiales,ERR260218,0.116928447
Lachnospiraceae,Clostridiales,ERR260218,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260218,0.366127024
Ruminococcaceae,Clostridiales,ERR260218,0.164257228
Lactobacillaceae,Lactobacillales,ERR260218,0.050366032
Streptococcaceae,Lactobacillales,ERR260218,0.140890451
Bacteroidaceae,Bacteroidales,ERR260222,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260222,0.116689655
Rikenellaceae,Bacteroidales,ERR260222,0.269793103
Clostridiaceae,Clostridiales,ERR260222,0.105781368
Lachnospiraceae,Clostridiales,ERR260222,0.075662043
Ruminococcaceae,Clostridiales,ERR260222,0.153710247
Bacteroidaceae,Bacteroidales,ERR260223,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260223,0.116689655
Rikenellaceae,Bacteroidales,ERR260223,0.269793103
Clostridiaceae,Clostridiales,ERR260223,0.105781368
Lachnospiraceae,Clostridiales,ERR260223,0.075662043
Ruminococcaceae,Clostridiales,ERR260223,0.153710247
Lactobacillaceae,Lactobacillales,ERR260223,0.050366032
Streptococcaceae,Lactobacillales,ERR260223,0.140890451
Bacteroidaceae,Bacteroidales,ERR260227,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260227,0.116689655
Rikenellaceae,Bacteroidales,ERR260227,0.269793103
Clostridiaceae,Clostridiales,ERR260227,0.116928447
Lachnospiraceae,Clostridiales,ERR260227,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260227,0.366127024
Ruminococcaceae,Clostridiales,ERR260227,0.164257228
Enterococcaceae,Lactobacillales,ERR260227,0.269208879
Lactobacillaceae,Lactobacillales,ERR260227,0.077382646
Leuconostocaceae,Lactobacillales,ERR260227,0.422026181
Streptococcaceae,Lactobacillales,ERR260227,0.165338645
Bacteroidaceae,Bacteroidales,ERR260230,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260230,0.116689655
Rikenellaceae,Bacteroidales,ERR260230,0.269793103
Clostridiaceae,Clostridiales,ERR260230,0.116928447
Lachnospiraceae,Clostridiales,ERR260230,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260230,0.366127024
Ruminococcaceae,Clostridiales,ERR260230,0.164257228
Lactobacillaceae,Lactobacillales,ERR260230,0.058362369
Leuconostocaceae,Lactobacillales,ERR260230,0.410107464
Streptococcaceae,Lactobacillales,ERR260230,0.148126634
Bacteroidaceae,Bacteroidales,ERR260231,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260231,0.116689655
Rikenellaceae,Bacteroidales,ERR260231,0.269793103
Clostridiaceae,Clostridiales,ERR260231,0.105781368
Lachnospiraceae,Clostridiales,ERR260231,0.075662043
Ruminococcaceae,Clostridiales,ERR260231,0.153710247
Bacteroidaceae,Bacteroidales,ERR260235,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260235,0.116689655
Rikenellaceae,Bacteroidales,ERR260235,0.269793103
Clostridiaceae,Clostridiales,ERR260235,0.105781368
Lachnospiraceae,Clostridiales,ERR260235,0.075662043
Ruminococcaceae,Clostridiales,ERR260235,0.153710247
Corynebacteriaceae,Actinomycetales,ERR260235,0.07197139
Micrococcaceae,Actinomycetales,ERR260235,0.25525257
Enterococcaceae,Lactobacillales,ERR260235,0.263339071
Lactobacillaceae,Lactobacillales,ERR260235,0.06997419
Streptococcaceae,Lactobacillales,ERR260235,0.158634538
Bacteroidaceae,Bacteroidales,ERR260238,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260238,0.116689655
Rikenellaceae,Bacteroidales,ERR260238,0.269793103
Clostridiaceae,Clostridiales,ERR260238,0.116928447
Lachnospiraceae,Clostridiales,ERR260238,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260238,0.366127024
Ruminococcaceae,Clostridiales,ERR260238,0.164257228
Actinomycetaceae,Actinomycetales,ERR260244,0.043979058
Micrococcaceae,Actinomycetales,ERR260244,0.418499127
Bacteroidaceae,Bacteroidales,ERR260244,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260244,0.116689655
Rikenellaceae,Bacteroidales,ERR260244,0.269793103
Clostridiaceae,Clostridiales,ERR260244,0.116928447
Lachnospiraceae,Clostridiales,ERR260244,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260244,0.366127024
Ruminococcaceae,Clostridiales,ERR260244,0.164257228
Lactobacillaceae,Lactobacillales,ERR260244,0.058362369
Leuconostocaceae,Lactobacillales,ERR260244,0.410107464
Streptococcaceae,Lactobacillales,ERR260244,0.148126634
Actinomycetaceae,Actinomycetales,ERR260245,0.043979058
Micrococcaceae,Actinomycetales,ERR260245,0.418499127
Bacteroidaceae,Bacteroidales,ERR260245,0.107509454
Porphyromonadaceae,Bacteroidales,ERR260245,0.135062129
Prevotellaceae,Bacteroidales,ERR260245,0.212317666
Rikenellaceae,Bacteroidales,ERR260245,0.284981091
Clostridiaceae,Clostridiales,ERR260245,0.116928447
Lachnospiraceae,Clostridiales,ERR260245,0.087173101
Peptostreptococcaceae,Clostridiales,ERR260245,0.366127024
Ruminococcaceae,Clostridiales,ERR260245,0.164257228
Comamonadaceae,Burkholderiales,ERR260245,0.103536648
Oxalobacteraceae,Burkholderiales,ERR260245,0.511532547
Suterellaceae,Burkholderiales,ERR260245,0.369041517
Lactobacillaceae,Lactobacillales,ERR260245,0.050366032
Streptococcaceae,Lactobacillales,ERR260245,0.140890451
Bacteroidaceae,Bacteroidales,ERR260246,0.088551724
Porphyromonadaceae,Bacteroidales,ERR260246,0.116689655
Rikenellaceae,Bacteroidales,ERR260246,0.269793103
